🕘️更新时间,#genre#
2025-08-07 18:58:37,http://localhost:8000/live/5395183387728986606

📺央视频道,#genre#
CCTV-1,http://localhost:8000/live/5395183387728986606
CCTV-1,http://localhost:8000/live/2641616177973822011
CCTV-1,http://localhost:8000/live/2722138375672371876
CCTV-1,http://localhost:8000/live/-4823236141378630247
CCTV-1,http://localhost:8000/live/6799337425543096182
CCTV-1,http://localhost:8000/live/-4910706668693216206
CCTV-1,http://localhost:8000/live/9114250307561689970
CCTV-1,http://localhost:8000/live/1286917383628509435
CCTV-1,http://localhost:8000/live/-4896029429007506641
CCTV-1,http://localhost:8000/live/-5516108813635618821
CCTV-2,http://localhost:8000/live/3560693013777549844
CCTV-2,http://localhost:8000/live/3310553513208280118
CCTV-2,http://localhost:8000/live/8936928661026232813
CCTV-2,http://localhost:8000/live/5009241966435752560
CCTV-2,http://localhost:8000/live/4484200785317067980
CCTV-2,http://localhost:8000/live/1197393890914661800
CCTV-2,http://localhost:8000/live/3980211716512797011
CCTV-2,http://localhost:8000/live/-4502694734311844341
CCTV-2,http://localhost:8000/live/-8975620578964768074
CCTV-2,http://localhost:8000/live/2606933366586047278
CCTV-3,http://localhost:8000/live/-5204384659462151318
CCTV-3,http://localhost:8000/live/-8295384798274959494
CCTV-3,http://localhost:8000/live/-8593945664578002962
CCTV-3,http://localhost:8000/live/-3150333567527317524
CCTV-3,http://localhost:8000/live/4852881835321924348
CCTV-3,http://localhost:8000/live/-4459455883747246468
CCTV-3,http://localhost:8000/live/4679493240094335072
CCTV-3,http://localhost:8000/live/3055417194653486679
CCTV-3,http://localhost:8000/live/7392751026464070231
CCTV-3,http://localhost:8000/live/-5449896453608280839
CCTV-4,http://localhost:8000/live/6641340213878166186
CCTV-4,http://localhost:8000/live/-7279988388937657308
CCTV-4,http://localhost:8000/live/-5452717513563926627
CCTV-4,http://localhost:8000/live/-8610895731445992103
CCTV-4,http://localhost:8000/live/6102824655390724696
CCTV-4,http://localhost:8000/live/-517537803643943130
CCTV-4,http://localhost:8000/live/8703692984101518002
CCTV-4,http://localhost:8000/live/2859925190512500200
CCTV-4,http://localhost:8000/live/5036754063841471307
CCTV-5,http://localhost:8000/live/-2737733400535141847
CCTV-5,http://localhost:8000/live/8215175154875922043
CCTV-5,http://localhost:8000/live/3339082382769334908
CCTV-5,http://localhost:8000/live/-2816651661141735426
CCTV-5,http://localhost:8000/live/-8850450493771554993
CCTV-5,http://localhost:8000/live/8086440824618541733
CCTV-5,http://localhost:8000/live/-4203159799671266816
CCTV-5,http://localhost:8000/live/2106042586701415002
CCTV-5,http://localhost:8000/live/7809331084404614297
CCTV-5,http://localhost:8000/live/-2685879090293657417
CCTV-5+,http://localhost:8000/live/1379420417238417977
CCTV-5+,http://localhost:8000/live/-2853326271333532061
CCTV-5+,http://localhost:8000/live/2046909571815657898
CCTV-5+,http://localhost:8000/live/7833574034349035604
CCTV-5+,http://localhost:8000/live/1496057103291111785
CCTV-5+,http://localhost:8000/live/8418658221003335154
CCTV-5+,http://localhost:8000/live/6766907406482389983
CCTV-5+,http://localhost:8000/live/-5289375090085978325
CCTV-5+,http://localhost:8000/live/8165899450404622581
CCTV-5+,http://localhost:8000/live/3670862090544475230
CCTV-6,http://localhost:8000/live/2576718623155877357
CCTV-6,http://localhost:8000/live/3970525128964780947
CCTV-6,http://localhost:8000/live/974787167011931358
CCTV-6,http://localhost:8000/live/-2995679739232858290
CCTV-6,http://localhost:8000/live/-5083028528158655952
CCTV-6,http://localhost:8000/live/-364335572844499688
CCTV-6,http://localhost:8000/live/1014801166673139518
CCTV-6,http://localhost:8000/live/7791106170268119771
CCTV-6,http://localhost:8000/live/5863453063366253326
CCTV-6,http://localhost:8000/live/-7659198163914911853
CCTV-7,http://localhost:8000/live/-3172012298184360501
CCTV-7,http://localhost:8000/live/440537802063936765
CCTV-7,http://localhost:8000/live/-2199864540877321087
CCTV-7,http://localhost:8000/live/-8840582059818114881
CCTV-7,http://localhost:8000/live/-6627315181337271319
CCTV-7,http://localhost:8000/live/-854732299659280569
CCTV-7,http://localhost:8000/live/3746327592534693599
CCTV-7,http://localhost:8000/live/141621127262604780
CCTV-7,http://localhost:8000/live/1160331540583249871
CCTV-8,http://localhost:8000/live/1173970258608220290
CCTV-8,http://localhost:8000/live/5981781327969089117
CCTV-8,http://localhost:8000/live/-8713727626919909654
CCTV-8,http://localhost:8000/live/-2734555196763003314
CCTV-8,http://localhost:8000/live/-8816562010577591853
CCTV-8,http://localhost:8000/live/3660961157497665881
CCTV-8,http://localhost:8000/live/-7094630795546797008
CCTV-8,http://localhost:8000/live/-5687629448140952398
CCTV-9,http://localhost:8000/live/-4286376968024472584
CCTV-9,http://localhost:8000/live/-5258981750044768818
CCTV-9,http://localhost:8000/live/-2740173918348766857
CCTV-9,http://localhost:8000/live/8082336180935040518
CCTV-9,http://localhost:8000/live/-5638881951982735030
CCTV-9,http://localhost:8000/live/7573490056312107698
CCTV-9,http://localhost:8000/live/-3269319948479466749
CCTV-9,http://localhost:8000/live/-6087197099335541305
CCTV-9,http://localhost:8000/live/2588253757264217502
CCTV-9,http://localhost:8000/live/-306815605344822541
CCTV-10,http://localhost:8000/live/-5329190996072679
CCTV-10,http://localhost:8000/live/-4323055164867264632
CCTV-10,http://localhost:8000/live/-8118607232770354826
CCTV-10,http://localhost:8000/live/2234339180096066780
CCTV-10,http://localhost:8000/live/-8845507123516505814
CCTV-10,http://localhost:8000/live/5342328435673317866
CCTV-10,http://localhost:8000/live/3879940730636126813
CCTV-10,http://localhost:8000/live/1740760364715711942
CCTV-10,http://localhost:8000/live/2409901993759259036
CCTV-10,http://localhost:8000/live/-8346014680603827289
CCTV-11,http://localhost:8000/live/-5705393264952684352
CCTV-11,http://localhost:8000/live/4228283670830361780
CCTV-11,http://localhost:8000/live/-2722199413885053904
CCTV-11,http://localhost:8000/live/7421560816499657988
CCTV-11,http://localhost:8000/live/6375243132512901321
CCTV-11,http://localhost:8000/live/3072726466571206541
CCTV-11,http://localhost:8000/live/-3551588055699432318
CCTV-11,http://localhost:8000/live/1278119683745477397
CCTV-11,http://localhost:8000/live/3916108939041763627
CCTV-11,http://localhost:8000/live/148628656927962186
CCTV-12,http://localhost:8000/live/585481969970475878
CCTV-12,http://localhost:8000/live/-518806143096455195
CCTV-12,http://localhost:8000/live/271194833804593815
CCTV-12,http://localhost:8000/live/8724784291446448638
CCTV-12,http://localhost:8000/live/522074720003351837
CCTV-12,http://localhost:8000/live/2335795708827670250
CCTV-12,http://localhost:8000/live/-7224863442641302893
CCTV-12,http://localhost:8000/live/-836443537007151310
CCTV-12,http://localhost:8000/live/-8689305180717907414
CCTV-12,http://localhost:8000/live/-4459575686926734571
CCTV-13,http://localhost:8000/live/7874749945110295418
CCTV-13,http://localhost:8000/live/-2986842656289447400
CCTV-13,http://localhost:8000/live/1736064012028379361
CCTV-13,http://localhost:8000/live/-4840545218981407815
CCTV-13,http://localhost:8000/live/9088563513628133271
CCTV-13,http://localhost:8000/live/-1808528003588053257
CCTV-13,http://localhost:8000/live/1536840597695025402
CCTV-13,http://localhost:8000/live/-6389233204239990963
CCTV-13,http://localhost:8000/live/5319197140018707205
CCTV-13,http://localhost:8000/live/8243801428684086933
CCTV-14,http://localhost:8000/live/-3826622352272125551
CCTV-14,http://localhost:8000/live/7253314858937057617
CCTV-14,http://localhost:8000/live/-8642372629097563570
CCTV-14,http://localhost:8000/live/3753980568689376556
CCTV-14,http://localhost:8000/live/2822981386823900511
CCTV-14,http://localhost:8000/live/-8219228982354367879
CCTV-14,http://localhost:8000/live/3876362673236408252
CCTV-14,http://localhost:8000/live/-104160377567754639
CCTV-14,http://localhost:8000/live/-8890000442193113257
CCTV-14,http://localhost:8000/live/-2455709083967669459
CCTV-15,http://localhost:8000/live/2674159731093535560
CCTV-15,http://localhost:8000/live/3918075488258086258
CCTV-15,http://localhost:8000/live/-4735455839366687377
CCTV-15,http://localhost:8000/live/-1801353060415519861
CCTV-15,http://localhost:8000/live/7466148881693890555
CCTV-15,http://localhost:8000/live/8315612334357380424
CCTV-15,http://localhost:8000/live/1956812476131350999
CCTV-15,http://localhost:8000/live/2062023656356974330
CCTV-15,http://localhost:8000/live/-47542957252971553
CCTV-15,http://localhost:8000/live/7484741443361779980
CCTV-16,http://localhost:8000/live/7276370462111971263
CCTV-17,http://localhost:8000/live/6565729804121138688
CCTV-17,http://localhost:8000/live/7575550312008848790
CCTV-17,http://localhost:8000/live/-1233643956503644180
CCTV-17,http://localhost:8000/live/-5843863973437303688
CCTV-17,http://localhost:8000/live/-7711084330591412956
CCTV-17,http://localhost:8000/live/-8666953133462159621
CCTV-17,http://localhost:8000/live/-2305729666545229570
CCTV-17,http://localhost:8000/live/-4781261995746336414
CCTV-17,http://localhost:8000/live/-7448236515225156152
CCTV-17,http://localhost:8000/live/5748703888966893780

💰央视付费频道,#genre#
第一剧场,http://localhost:8000/live/3257012088591231601

📡卫视频道,#genre#
广东卫视,http://localhost:8000/live/-6530679961238875711
广东卫视,http://localhost:8000/live/7593151266076365581
浙江卫视,http://localhost:8000/live/7870025246700147955
浙江卫视,http://localhost:8000/live/5713758423120382010
浙江卫视,http://localhost:8000/live/7667719698414272562
浙江卫视,http://localhost:8000/live/-9020702289484731829
湖北卫视,http://localhost:8000/live/-3541515389677604095
湖北卫视,http://localhost:8000/live/1623311592423981935
湖北卫视,http://localhost:8000/live/-7460451530327993557
湖北卫视,http://localhost:8000/live/-9064623128831573827
湖北卫视,http://localhost:8000/live/-4986219749037593861
湖北卫视,http://localhost:8000/live/6185532061127119434
湖北卫视,http://localhost:8000/live/-6772721092190608014
黑龙江卫视,http://localhost:8000/live/-4469133743114552789
黑龙江卫视,http://localhost:8000/live/5255471576640381756
东方卫视,http://localhost:8000/live/-4363983804496742114
东方卫视,http://localhost:8000/live/3004276333354731999
东方卫视,http://localhost:8000/live/-4863141048049468096
